Timestamp,What marine recreation activities do you engage in?,What is your primary marine recreation activity?,How many years of experience do you have in this activity?,"On average, how often do you do this activity per month?","When you do this activity, how long does it typically last?","On average, how many people participate with you when you do this activity?",How long have you been a member of BCMT?,Why did you purchase a BCMT membership?,Have you ever volunteered with BCMT? ,"If Yes, for which activity or activities?",Have you ever used the map at bcmarinetrails.org to plan your marine recreation activities?,"If Yes, how often?",What is your primary reason for visiting bcmarinetrails.org?,"Do you use any mobile applications before, during, or after your marine recreation trips? If yes, please specify which apps and for what purpose?",Have you ever submitted a Site Condition Report (SCR) to BCMT?,How often have you submitted an SCR?,What is your gender?,Which age group do you fall in?,"85% of BCMT members live in British Columbia (BC), Canada. If you live in BC, which region are you located in? If you live outside of BC, please include your state or province location under ""Other"".","If you would like to be entered into our prize draw, please leave us an email where we can contact you at. "
1/20/2021 12:37:46,"Kayaking, Snorkeling ",Kayaking,9+ years,6-10 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,News,Predict wind for wind and tide times info. Also I check different web sites for current and tide info.,No,,Female,65+ years old,Vancouver Island,
1/20/2021 12:40:20,Kayaking,Kayaking,less than 1 year,1-2 times,1 day or less (day-trip),3-5,I'm not currently a member of BCMT,,No,,No,,Buying maps and getting ideas ,,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 12:44:29,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,4-6 days,1-2,More than 5 years,To support it’s work ,Yes,Coast cleanup ,Yes,Sometimes,Information ,Maps.me IOverlander ,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 12:46:05,Kayaking,Kayaking,9+ years,6-10 times,4-6 days,3-5,I'm not currently a member of BCMT,,,,No,,,,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 12:49:39,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,1-2 years,3-5 times,2-3 days,0 (solo),1 year or less,new to costal BC,No,,No,,to discover the trails!,"Windy, Current Atlas, GoPaddling",No,,Female,35-44 years old,Vancouver Island,
1/20/2021 12:53:30,Kayaking,Kayaking,1-2 years,6-10 times,1 day or less (day-trip),1-2,1 year or less,The best source for information about the coast,No,,Yes,Always,Best information about kayaking on the coast,,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 13:01:59,Kayaking,Kayaking,9+ years,6-10 times,2-3 days,0 (solo),2-3 years,Contribute to great initiative,Yes,Site assessments,No,Very Often,"Find campsites, plan trips","Inreach, down gpx for GIS",Yes,Sometimes,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 13:07:14,Kayaking,Kayaking,9+ years,3-5 times,4-6 days,1-2,I'm not currently a member of BCMT,,,,No,,"Relatively new to the island, want to gain more knowledge on kayak routes and great destinations",ISailor,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 13:11:32,Kayaking,Kayaking,9+ years,More than 10 times,1 day or less (day-trip),0 (solo),2-3 years,To support the organisation ,No,,No,,News ,No,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 13:34:25,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,More than 5 years,Have supported BCMT since founding,Yes,"Board of Directors, Communications Comittee",Yes,Often,"Map, Newsletter",Google maps,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 13:35:13,Kayaking,Kayaking,5-8 years,6-10 times,1 day or less (day-trip),3-5,2-3 years,2-3 yrs ago,No,,No,,to learn of new kayaking sites and clean up projects,,No,,Female,65+ years old,Vancouver Island,
1/20/2021 13:37:29,Kayaking,Kayaking,9+ years,1-2 times,1-2 weeks,3-5,2-3 years,Support,No,,Yes,Sometimes,Information,Google maps location research,No,,Female,65+ years old,Vancouver Coast & Mountains,
1/20/2021 13:39:03,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,6-10 times,4-6 days,3-5,More than 5 years,It is important to support the work being undertaken.,No,,Yes,Sometimes,Maps and route information,,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 14:00:29,"Sailing, Kayaking",Kayaking,9+ years,6-10 times,4-6 days,1-2,4-5 years,to support the cause & have use of the online map,No,,Yes,Often,trip planning,"BC Marine Trails, Windy, predict wind, magic seaweed, navionics, paddle log, tides near me, Adventure Smart, Gov of Canada tides & currents & weather",No,Rarely,Male,55-64 years old,Vancouver Island,
1/20/2021 14:03:19,"Sailing, Rowing",Rowing,9+ years,1-2 times,1-2 weeks,0 (solo),1 year or less,I support what BCMT does in my favorite place on earth,No,I want to volunteer once the borders open (I'm American).,Yes,Sometimes,"My first reason was to plan a trip. Since then, to follow BCMT activities.","Navionics Boating, Tides Near Me, Windy, Google Maps",No,,Male,65+ years old,New Mexico & Washington,
1/20/2021 14:05:33,Kayaking,Kayaking,3-4 years,3-5 times,4-6 days,3-5,2-3 years,support,No,,Yes,Sometimes,research on kayaking trips,Navionics,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 14:07:20,Kayaking,Kayaking,3-4 years,3-5 times,4-6 days,3-5,2-3 years,support,No,,Yes,Sometimes,research for kayaking trips,,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 14:12:49,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,3-5 times,4-6 days,1-2,1 year or less,Support marine recreation ,No,,Yes,Rarely,Trip planning ,"Windy, Weatheroffice.go.ca and weather network as well as Tides Near me, Navionics....all self explanatory ",No,,Female,55-64 years old,Vancouver Island,
1/20/2021 14:15:38,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),More than 5 years,,No,,No,,rarely access web site; map is slow to load,Windy & Env Canada - weather apps,No,,Male,65+ years old,Vancouver Island,
1/20/2021 14:26:21,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),More than 10,2-3 years,Do not remember,Yes,"TDC, Regional Manager & club rep",Yes,Very Often,Support the organizations activities,"10"" laptop computer with pdf & photo apps",Yes,Sometimes,Male,65+ years old,Vancouver Island,
1/20/2021 14:49:13,"Kayaking, Scuba diving; exploring with small zodia (9.9hp)",Scuba diving,9+ years,3-5 times,1 day or less (day-trip),1-2,1 year or less,Access to digital map & routes,No,,Yes,Sometimes,Accessing the map and trail info,"Geocaching for recreation, Navionics charts for navigation",No,,Nonbinary,35-44 years old,Vancouver Island,
1/20/2021 15:07:50,Kayaking,Kayaking,9+ years,1-2 times,4-6 days,3-5,4-5 years,To keep informed about what's happening in the kayak community.,No,,Yes,Often,Camping information,Strava for tracking,No,,Male,65+ years old,Vancouver Island,
1/20/2021 15:14:24,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,1-2,I'm not currently a member of BCMT,Several years ago,No,,No,,I think they are doing a great job.,Facebook,No,,Female,55-64 years old,Ontario,
1/20/2021 15:18:41,"Kayaking, Canoeing",Canoeing,5-8 years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,Yes,Sometimes,,,No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/20/2021 15:18:56,Kayaking,Kayaking,9+ years,6-10 times,2-3 days,3-5,More than 5 years,To support the BCMT mandate,No,,No,,,"Yes, for weather.",No,,Prefer not to say,35-44 years old,Vancouver Island,
1/20/2021 15:19:14,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,1 year or less,To support the marine trails project,No,,Yes,Rarely,looking for paddling spots or put-in spots,mostly just a variety of weather apps.,No,,Female,45-54 years old,Vancouver Island,
1/20/2021 15:49:08,"Stand-up paddling (SUP), Kayaking, Canoeing",Canoeing,9+ years,1-2 times,2-3 days,0 (solo),2-3 years,maps,Yes,cleanup,Yes,Often,,,No,,Male,65+ years old,Vancouver Island,
1/20/2021 16:00:45,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,,,No,,,,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 16:08:35,"Kayaking, Canoeing, pedal boating, occasional dinghy rowing",Kayaking,9+ years,More than 10 times,1 day or less (day-trip),1-2,1 year or less,Want to tour howe sound and use the sites,No,,No,,learn about kayaking oriented activity,don't use,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 16:12:34,"Kayaking, Canoeing",Kayaking,9+ years,1-2 times,2-3 days,1-2,2-3 years,knowledge base for kayak camping,No,,Yes,Often,learn about sites,"yes...I know, you want more info...it varies...",No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 16:16:58,"Kayaking, Rowing",Kayaking,9+ years,3-5 times,2-3 days,1-2,4-5 years,To support local access and marine trails,No,,Yes,Sometimes,The map,,No,,Female,25-34 years old,Vancouver Coast & Mountains,
1/20/2021 16:21:32,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,For information when planning a trip to the Broughtons.,No,,Yes,Rarely,Ideas.,"Recently, we’ve used Facebook. We also use All Trails for walking.",No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 16:35:22,"Kayaking, Canoeing",Canoeing,9+ years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,,No,,No,,general interest,no,No,,Female,55-64 years old,Vancouver Island,
1/20/2021 16:50:55,Kayaking,Kayaking,9+ years,6-10 times,1 day or less (day-trip),1-2,2-3 years,Information on paddling the coast,No,,Yes,Sometimes,Information on coastal trips,"Google earth, Bing maps for planning. SPOT for tracking, SPOT Adventures for posting trip pictures, tracks",No,,Male,65+ years old,Vancouver Island,
1/20/2021 16:53:14,Kayaking,Kayaking,3-4 years,3-5 times,4-6 days,1-2,1 year or less,Support,No,,Yes,Always,Map,"Yes. Numerous tide, weather, and navigation apps. They vary.",No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 17:02:32,Kayaking,Kayaking,9+ years,1-2 times,2-3 days,3-5,4-5 years,Because I want to support this effort and I think it has a lot to offer.,Yes,Stewardship of the Howe Sound sites and I have attended the AGM,Yes,Often,Reading the articles and using the maps,no,Yes,Sometimes,Female,65+ years old,Vancouver Coast & Mountains,
1/20/2021 17:32:46,Kayaking,Kayaking,9+ years,1-2 times,1-2 weeks,6-10,1 year or less,2020,No,,Yes,Sometimes,routes,no,No,,Female,35-44 years old,Kootenay Rockies,
1/20/2021 17:55:19,Kayaking,Kayaking,1-2 years,1-2 times,1 day or less (day-trip),1-2,2-3 years,to support the kayak community,No,,Yes,Sometimes,usefull information,no,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 18:08:31,Kayaking,Kayaking,9+ years,6-10 times,1 day or less (day-trip),6-10,I'm not currently a member of BCMT,,No,,No,,Interested,no,No,,Female,65+ years old,Vancouver Island,
1/20/2021 18:25:40,Kayaking,Kayaking,5-8 years,6-10 times,4-6 days,3-5,4-5 years,I wanted to support BCMT,Yes,Beach clean up,Yes,Often,Information ,"Yes, VHF radio + tablet",No,,Male,65+ years old,Vancouver Island,
1/20/2021 18:57:58,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),6-10,2-3 years,I support it’s mandate of leave no trace camping and kayaking. I appreciate all the effort put in by volunteers and members creating new kayak camping spots. ,No,,Yes,Rarely,I usually read the newsletters to hear about new camping sites. ,,No,,Female,65+ years old,Vancouver Island,
1/20/2021 19:01:22,Kayaking,Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,2-3 years,To support the organization and gain access to the maps and charts.,No,,Yes,Very Often,I think your work is important,GPS download of campsites,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 19:05:25,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),2-3 years,get information  and tour tips,No,,No,,,,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 20:19:47,"Stand-up paddling (SUP), Sailing, Kayaking, Canoeing",Kayaking,9+ years,3-5 times,2-3 days,0 (solo),2-3 years,The maps/campsites; support the cause,No,,Yes,Sometimes,Use the map,No ,No,,Male,55-64 years old,Thompson Okanagan,
1/20/2021 20:25:22,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,,No,,Yes,Rarely,to plan trips,"WhaleReport, Navionics Boating, WeatherCAN",No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 20:56:08,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,4-5 years,Like the work being done,No,,No,,,,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 21:13:14,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,1-2 times,1-2 weeks,6-10,1 year or less,Great resources that were associated with a trip we did last year,No,,Yes,Often,Kayaking trips,,No,,Male,45-54 years old,Calgary ,
1/20/2021 21:41:01,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),0 (solo),4-5 years,Want to support the kayak community and possibly learn about local paddles,No,,No,,Like to see what you young folk are up to,Newly loaded Gaia on my phone (for snowshoeing) and hope to use it for kayaking.,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/20/2021 21:47:35,Kayaking,Kayaking,9+ years,More than 10 times,1-2 weeks,6-10,More than 5 years,Help keep kayak access to the coast and hopefully a string of camping accesses up the coast,No,,Yes,Sometimes,view new sites if I am paddling in the area,No,Yes,Sometimes,Male,55-64 years old,Salt Spring Island,
1/20/2021 22:09:56,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),3-5,More than 5 years,To participate in an important cause,No,,Yes,Sometimes,Trip planning,no,Yes,Sometimes,Male,55-64 years old,Vancouver Coast & Mountains,
1/20/2021 22:12:41,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,"Resources, access to map. ",No,,Yes,Sometimes,Access map,,No,,Male,45-54 years old,Vancouver Island,
1/20/2021 22:40:32,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),3-5,2-3 years,To support the effort,No,,Yes,Sometimes,"information, map",,No,,Male,45-54 years old,Vancouver Island,
1/20/2021 22:42:43,"Sailing, Kayaking, Diving, Fishing, Photography ",Kayaking,9+ years,1-2 times,4-6 days,3-5,2-3 years,To contribute to the organization of paddling/touring on the west coast,No,I did inquire but was unable to make it work. ,No,,Curiousity about launching & camping spots,,No,,Female,65+ years old,Vancouver Island,
1/20/2021 22:46:50,Kayaking,Kayaking,5-8 years,1-2 times,1 day or less (day-trip),1-2,1 year or less,I want to support the work you do. ,No,,Yes,Always,To get tips on launch sites and other information helpful for planning a kayaking day trip,The Marine Trails App. Same purpose as above. ,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/20/2021 23:05:40,"Stand-up paddling (SUP), Sailing, Kayaking, Canoeing",Kayaking,3-4 years,3-5 times,1 day or less (day-trip),1-2,1 year or less,"Information, personal interest",No,,Yes,Sometimes,"Information, updates",Fatmap,No,,Male,55-64 years old,Vancouver Island,
1/20/2021 23:17:43,"Kayaking, Canoeing",both canoeing and kayaking,9+ years,More than 10 times,1-2 weeks,3-5,More than 5 years,information on campsites and supporting developing more of them and as a member of SKGABC and PC,No,,Yes,Often,research for trips,"no, except windy for wx",No,,Female,55-64 years old,Vancouver Island,
1/20/2021 23:42:29,Kayaking,Kayaking,5-8 years,1-2 times,4-6 days,3-5,1 year or less,Your marine sites map has so much valuable info that I decided to support your activities although the map access is free,No,,Yes,Often,Campsite info,"Predict wind, Marine traffic",No,,Female,45-54 years old,Vancouver Coast & Mountains,
1/21/2021 0:44:08,"Kayaking, Canoeing",Kayaking,9+ years,6-10 times,4-6 days,1-2,I'm not currently a member of BCMT,To help identifying campsites and getting info about them,Yes,A cleanup and reporting about campsites,Yes,Very Often,To explore what campsites there are and Accessibility ,Only Marine trails and GPS,Yes,Rarely,Female,65+ years old,Vancouver Island,
1/21/2021 1:00:15,"Stand-up paddling (SUP), Kayaking, Canoeing, boating",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,2-3 years,To support the paddling community.,No,,No,,To support a paddling organization.,Navionics - for some route planning; more for fun tracking my route.  Weather apps.,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/21/2021 1:10:02,"Kayaking, Canoeing",Canoeing,9+ years,3-5 times,1 day or less (day-trip),1-2,2-3 years,howe sound marine trail,No,,Yes,Sometimes,howe sound map,,No,,Female,55-64 years old,Vancouver Coast & Mountains,
1/21/2021 1:30:09,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,1-2 times,4-6 days,3-5,1 year or less,"Love sea kayaking, marine trail is important, want to support",No,,Yes,Often,"Find campsites, plan routes",GaiaGPS,Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/21/2021 1:44:33,Kayaking,Kayaking,9+ years,3-5 times,4-6 days,1-2,4-5 years,Looking for good overnight campsites or resting spots for lunch,No,,Yes,Sometimes,Finding good overnight campsites to pitch a tent, Google Maps offline,Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/21/2021 2:18:00,"Kayaking, Canoeing",Kayaking,9+ years,3-5 times,4-6 days,3-5,2-3 years,support development of marine trails,Yes,"trip reports, indigenous engagement (didn't do much)",Yes,Very Often,research for trips,Navionics; to confirm features for navigation,Yes,Rarely,Male,45-54 years old,Vancouver Coast & Mountains,
1/21/2021 9:46:31,"Sailing, Canoeing",Canoeing,9+ years,1-2 times,2-3 days,1-2,I'm not currently a member of BCMT,,No,,No,,to plan for paddling touring,,No,,Male,55-64 years old,,
1/21/2021 9:53:30,"Kayaking, Canoeing",Canoeing,9+ years,1-2 times,1-2 weeks,1-2,I'm not currently a member of BCMT,,,,Yes,Rarely,Accidentally,Terra map,No,,Male,55-64 years old,,
1/21/2021 11:12:07,"Kayaking, Canoeing",Kayaking,5-8 years,1-2 times,2-3 days,1-2,4-5 years,Trip Planning and Maps,No,,Yes,Very Often,Supporting the development of the marine trails that I will use in the future,"Navionics, goodle earth",No,,Male,55-64 years old,Alberta,
1/21/2021 11:37:30,"Stand-up paddling (SUP), Kayaking, Canoeing",Kayaking,9+ years,1-2 times,4-6 days,1-2,I'm not currently a member of BCMT,,No,,Yes,Sometimes,Inspiration for new routes and places to kayak,no,No,,Female,55-64 years old,,
1/21/2021 11:41:44,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,1-2 times,1-2 weeks,1-2,2-3 years,access to map,No,,Yes,Often,"map, media articles",,No,,Male,55-64 years old,Vancouver Island,
1/21/2021 11:50:25,Kayaking,Kayaking,3-4 years,More than 10 times,1 day or less (day-trip),1-2,4-5 years,For the Map feature,No,,Yes,Always,Map,"Windy, Ayetides, Boating/Navionics App, Google Mpa, Google Earth, social media, communication apps with In-reach, etc",Yes,Sometimes,Male,55-64 years old,Vancouver Island,
1/21/2021 12:10:06,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,4-5 years,To support your work developing campsites along the coast (we kayak camp),No,,Yes,Often,Review map of campsites when planning trips,Environment Canada - weather,No,,Prefer not to say,65+ years old,Vancouver Coast & Mountains,
1/21/2021 13:41:44,"Sailing, Kayaking",Kayaking,9+ years,1-2 times,2-3 days,1-2,I'm not currently a member of BCMT,,No,,Yes,Sometimes,for trip planning when we come to coast (we live in Alberta),not yet,No,,Female,55-64 years old,,
1/21/2021 13:44:35,"Kayaking, Canoeing",Kayaking,9+ years,1-2 times,2-3 days,1-2,I'm not currently a member of BCMT,NA,No,NA,No,,Future interest,NA,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/21/2021 14:54:35,Kayaking,Kayaking,5-8 years,6-10 times,2-3 days,6-10,1 year or less,I have used the map quite often and wanted to give back to the organization for making/maintaining it. ,Yes,,Yes,Very Often,The map. ,"aye tides, Garmin in-reach, windy, ",No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/21/2021 15:13:36,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,4-5 years,"Because of your commitment to coastal clean up, engagement with indigenous tribes, and efforts to find and maintain landing spots.",No,,No,,Just to keep up on your progress and maybe find new places to paddle.,,No,,Male,65+ years old,Vancouver Island,
1/21/2021 16:30:04,"Stand-up paddling (SUP), Kayaking, Canoeing, surf ski/downwind paddling",Kayaking,9+ years,More than 10 times,1 day or less (day-trip),3-5,4-5 years,to support development of marine trail in Northern Gulf Island area,No,,No,,to support development of marine trails,gps/strava for fitness.,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/21/2021 16:47:56,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,4-5 years,To stay informed about the marine trail,No,,Yes,Often,the map,no,No,,Male,55-64 years old,Vancouver Island,
1/21/2021 18:53:36,Kayaking,Kayaking,9+ years,1-2 times,4-6 days,1-2,2-3 years,Access to the map and wanting to support the good work BCMT does.,No,,Yes,Often,Researching information to plan kayaking trips,Runkeeper and Alltrails. We use these apps to track our route and navigate.  Also to plan hikes while on land.,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/21/2021 19:09:04,Kayaking,Kayaking,9+ years,1-2 times,1-2 weeks,1-2,2-3 years,To find information on kayak routes and to see what other like minded people are doing,No,,Yes,Sometimes,to give support to what other kayakers are doing,"Gaia Gps, Google",No,,Male,55-64 years old,Alberta,
1/21/2021 19:14:38,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,2-3 years,They do great work!!,No,I had planned on going out with you to do cleanups last year. ,Yes,Sometimes,The tools and information on the site,Navionics,No,,Male,45-54 years old,Vancouver Island,
1/21/2021 20:01:02,"Kayaking, Canoeing",Kayaking,3-4 years,6-10 times,2-3 days,3-5,2-3 years,I was impressed by the marine trails concept; hope to do longer trips,No,,Yes,Very Often,"to use the map - find good landing spots, maybe camping spots","map my hike, to get a track of my route. ",No,,Male,65+ years old,Vancouver Island,
1/21/2021 20:26:35,Kayaking,Kayaking,9+ years,6-10 times,1-2 weeks,6-10,2-3 years,Research campsites for expedition type outings,Yes,Pika hosting of annual 2020 meeting (canceled),Yes,Always,Map,"Windy, Windfinder & WhoseLand?",Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/21/2021 20:35:22,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,I'm not currently a member of BCMT,I didn't,No,,No,,"I'd like to go kayaking in BC. I live in Seattle, WA, USA",yes,No,,Male,45-54 years old,"Seattle, WA, USA",
1/21/2021 20:43:11,Kayaking,Kayaking,3-4 years,6-10 times,1-2 weeks,1-2,1 year or less,found the website and the philosophy in line with my needs ,No,,Yes,Often,trip planning ,In Reach - Explore App,No,,Female,65+ years old,Alberta ,
1/21/2021 21:28:25,"Kayaking, power boating",Kayaking,9+ years,1-2 times,2-3 days,1-2,2-3 years,to help support the continued access to human power vessel camping sites and day use areas.  also to help support website map.,No,,Yes,Sometimes,map access,,No,,Male,55-64 years old,Washington State,
1/21/2021 21:33:27,"Kayaking, Canoeing",Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,2-3 years,To contribute.,No,,Yes,Sometimes,Trip planning,"Yes, Weather, wind, maps.",No,,,55-64 years old,Vancouver Island,
1/21/2021 22:05:11,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,2-3 years,To support the BCMT Community and get support,No,,Yes,Very Often,map,No,No,,Male,35-44 years old,Vancouver Island,
1/22/2021 0:21:01,"Kayaking, Boating (small open power vessel)",Kayaking,9+ years,3-5 times,4-6 days,6-10,4-5 years,Support the organization,No,,No,,Renew membership :),"Navionics, mobile web browser for tides, camera",No,,Male,35-44 years old,Vancouver Island,
1/22/2021 10:33:14,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),3-5,2-3 years,support bcmt,No,,Yes,Rarely,use map,windy / weather,No,,Male,65+ years old,Vancouver Coast & Mountains,
1/22/2021 11:10:47,"Kayaking, Power boat, fishing, touring",Power boating travel,9+ years,More than 10 times,longer than 2 weeks,1-2,More than 5 years,To support establishment of the marine trails,No,,No,,To see what projects are in the works,"Boat nav system, windy and itide",No,,Male,65+ years old,Vancouver Island,
1/22/2021 11:50:44,"Stand-up paddling (SUP), Kayaking, Rowing, Canoeing",Kayaking,9+ years,1-2 times,4-6 days,3-5,2-3 years,My husband is on the executive. ,Yes,Clean up and set up of Discovery Island trail,Yes,Always,To plan a trip,"Strava, google photos, envionment Canada marine weather forecasts",No,,Female,65+ years old,Vancouver Coast & Mountains,
1/22/2021 12:15:06,"Stand-up paddling (SUP), Sailing, Kayaking",Stand-up paddling (SUP),5-8 years,3-5 times,1 day or less (day-trip),0 (solo),1 year or less,,No,,No,,,,No,,Male,35-44 years old,Vancouver Coast & Mountains,
1/22/2021 13:26:42,Kayaking,Kayaking,9+ years,3-5 times,1 day or less (day-trip),0 (solo),I'm not currently a member of BCMT,,No,,No,,Trip planning,,No,,Male,65+ years old,Louisiana,
1/22/2021 16:21:31,"Sailing, Kayaking",Kayaking,9+ years,3-5 times,1 day or less (day-trip),1-2,2-3 years,"I want to help preserve the pristine kayaking group  on the coast and try to set up a system on control for numbers going into sensitive areas at any given time.  I live in the interior (Shuswap) , but do at least on extended ocean trip per year.  There is nothing so frustrating to be in an isolated camping area and then have a commercial group descend on you.  ",No,,No,,,"Garmin Inreach , Garmin GPS 78, Federal sites for weather and tides",No,,Male,65+ years old,Thompson Okanagan,
1/22/2021 20:06:35,"Sailing, Kayaking, Canoeing",Kayaking,9+ years,More than 10 times,1 day or less (day-trip),1-2,2-3 years,"Locating camp sites, routes, kayak ferry access,general info",No,,Yes,Often,Locating routes,,No,,Male,65+ years old,Thompson Okanagan,
1/22/2021 20:16:06,Kayaking,Kayaking,5-8 years,6-10 times,2-3 days,3-5,2-3 years,To support the work of BCMT,No,,Yes,Always,"Would like to use map function, but too confusing and dark when printed.",,No,,Female,55-64 years old,Vancouver Island,
1/22/2021 21:09:49,Kayaking,Kayaking,9+ years,1-2 times,1 day or less (day-trip),1-2,4-5 years,importance of a preserving our beautiful coast,No,,No,,love to see where people paddle,no,No,,Female,65+ years old,Vancouver Island,
1/23/2021 0:44:59,"Kayaking, Canoeing",Kayaking,5-8 years,1-2 times,2-3 days,3-5,1 year or less,I was using the map,No,,Yes,Often,to use the map,iphone,Yes,Rarely,Male,55-64 years old,Vancouver Coast & Mountains,
1/23/2021 10:29:25,Canoeing,Canoeing,9+ years,1-2 times,1 day or less (day-trip),1-2,More than 5 years,As part of my role on VCKC executive,No,,No,,I seldom visit the site anymore. I've considered cancelling the emails. I don't believe I'm currently a member.,no,No,,Female,65+ years old,Vancouver Island,
1/23/2021 12:42:38,"Kayaking, Canoeing",Kayaking,5-8 years,3-5 times,1 day or less (day-trip),3-5,4-5 years,Support the organization ,No,,Yes,Often,Map for trip planning- 3-7 night trips 2-4x/year,Garmin Earthmate: paired with InReach for navigation. I would love to have BCMarine trails map info in a mobile app!,No,,Male,45-54 years old,Vancouver Coast & Mountains,
1/23/2021 14:02:04,Kayaking,Kayaking,9+ years,3-5 times,2-3 days,1-2,2-3 years,Became the BCMT rep for the Comox Paddle club.,Yes,Beach Clean ups & maintenance,Yes,Often,Route planning,No,No,,Male,55-64 years old,Vancouver Island,
1/23/2021 18:35:40,Kayaking,Kayaking,5-8 years,1-2 times,2-3 days,0 (solo),2-3 years,Access to maps and news on the Marine Trails,No,,Yes,Sometimes,Trip planning,Garmin Earthmate,No,,Male,55-64 years old,Vancouver Coast & Mountains,
1/23/2021 18:47:30,"Stand-up paddling (SUP), Kayaking",Kayaking,9+ years,3-5 times,4-6 days,More than 10,More than 5 years,To support all the hard work by some. I hope that so many places with BCMT are looked after in a protective way.,,,No,,To see what you are doing. Amazing stuff. To explain to others what you are all about. ,Marine radio. G p s.,Yes,,,,Vancouver Island,
